Source (A),WC,Analytic,Clout,Authentic,Tone,WPS,Sixltr,Dic,function,pronoun,ppron,i,we,you,shehe,they,ipron,article,prep,auxverb,adverb,conj,negate,verb,adj,compare,interrog,number,quant,affect,posemo,negemo,anx,anger,sad,social,family,friend,female,male,cogproc,insight,cause,discrep,tentat,certain,differ,percept,see,hear,feel,bio,body,health,sexual,ingest,drives,affiliation,achieve,power,reward,risk,focuspast,focuspresent,focusfuture,relativ,motion,space,time,work,leisure,home,money,relig,death,informal,swear,netspeak,assent,nonflu,filler,AllPunc,Period,Comma,Colon,SemiC,QMark,Exclam,Dash,Quote,Apostro,Parenth,OtherP
Completing this poll grants you access to Freedom Outpost updates free of charge.,13,93.26,93.79,1.40,99.00,13.00,30.77,61.54,30.77,15.38,7.69,0.00,0.00,7.69,0.00,0.00,7.69,0.00,15.38,0.00,0.00,0.00,0.00,0.00,7.69,0.00,0.00,0.00,0.00,15.38,15.38,0.00,0.00,0.00,0.00,7.69,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,7.69,0.00,0.00,0.00,7.69,0.00,0.00,0.00,0.00,7.69,0.00,0.00,7.69,0.00,0.00,0.00,7.69,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,7.69,7.69,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
You may opt out at anytime.,6,93.26,99.00,99.00,25.77,6.00,16.67,83.33,66.67,16.67,16.67,0.00,0.00,16.67,0.00,0.00,0.00,0.00,33.33,16.67,0.00,0.00,0.00,16.67,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,16.67,0.00,0.00,0.00,0.00,33.33,0.00,0.00,0.00,33.33,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,16.67,50.00,0.00,33.33,16.67,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,16.67,16.67,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
You also agree to this site's Privacy Policy and Terms of Use.,12,38.60,95.20,1.00,99.00,12.00,8.33,75.00,50.00,16.67,8.33,0.00,0.00,8.33,0.00,0.00,8.33,0.00,16.67,0.00,8.33,16.67,0.00,8.33,0.00,0.00,0.00,0.00,0.00,8.33,8.33,0.00,0.00,0.00,0.00,8.33,0.00,0.00,0.00,0.00,8.33,0.00,8.33,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,8.33,0.00,0.00,8.33,0.00,0.00,0.00,8.33,0.00,0.00,0.00,0.00,0.00,8.33,0.00,0.00,0.00,0.00,0.00,8.33,0.00,0.00,8.33,0.00,0.00,16.67,8.33,0.00,0.00,0.00,0.00,0.00,0.00,0.00,8.33,0.00,0.00
"For immediate releaseAugust 4, 2018Issued by Sheriff Jerry Hogrefe Two males from Georgia are in custody after TCSO... Posted by Taos County Sheriff's Office on Saturday, August 4, 2018",29,99.00,63.49,69.96,25.77,14.50,31.03,55.17,27.59,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,24.14,3.45,0.00,0.00,0.00,6.90,3.45,3.45,0.00,13.79,0.00,0.00,0.00,0.00,0.00,0.00,0.00,3.45,0.00,0.00,0.00,3.45,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,3.45,3.45,0.00,24.14,0.00,10.34,13.79,3.45,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,24.14,10.34,10.34,0.00,0.00,0.00,0.00,0.00,0.00,3.45,0.00,0.00
The Atlanta Journal-Constitution reports on documents they obtained which claims that the adults were training these children to carry out mass shootings in schools.,25,96.24,88.48,43.37,25.77,25.00,40.00,72.00,44.00,16.00,4.00,0.00,0.00,0.00,0.00,4.00,12.00,8.00,16.00,4.00,0.00,0.00,0.00,12.00,0.00,0.00,4.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,12.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,8.00,0.00,4.00,4.00,4.00,0.00,8.00,4.00,0.00,20.00,4.00,16.00,0.00,8.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,8.00,4.00,0.00,0.00,0.00,0.00,0.00,4.00,0.00,0.00,0.00,0.00
The documents claim Siraj Ibn Wahhaj and his co-defendants conducted weapons training at the camp where they were found Friday with 11 children in allegedly “third world” conditions.,29,93.26,84.96,26.55,1.00,29.00,27.59,58.62,34.48,6.90,6.90,0.00,0.00,0.00,3.45,3.45,0.00,6.90,10.34,3.45,3.45,3.45,0.00,10.34,0.00,0.00,3.45,6.90,0.00,6.90,0.00,6.90,0.00,3.45,0.00,10.34,0.00,0.00,0.00,3.45,3.45,3.45,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,6.90,0.00,0.00,3.45,0.00,3.45,6.90,0.00,0.00,17.24,0.00,13.79,3.45,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,13.79,3.45,0.00,0.00,0.00,0.00,0.00,3.45,6.90,0.00,0.00,0.00
"Wahhaj is also wanted in Clayton County in a child abduction case involving his missing son, Abdul-Ghani Wahhaj.",19,86.88,98.19,1.00,1.00,19.00,21.05,63.16,31.58,5.26,5.26,0.00,0.00,0.00,5.26,0.00,0.00,5.26,10.53,5.26,5.26,5.26,0.00,15.79,0.00,0.00,0.00,0.00,0.00,5.26,0.00,5.26,0.00,0.00,5.26,21.05,5.26,0.00,0.00,10.53,5.26,0.00,0.00,5.26,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,5.26,0.00,0.00,5.26,0.00,0.00,5.26,5.26,0.00,15.79,0.00,15.79,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,15.79,5.26,5.26,0.00,0.00,0.00,0.00,5.26,0.00,0.00,0.00,0.00
"The documents, which suggest all the adults were involved in the training, say a person serving as a foster parent caring for one of the kids revealed the details about the training.",32,99.00,98.49,1.00,81.93,32.00,25.00,81.25,46.88,3.12,0.00,0.00,0.00,0.00,0.00,0.00,3.12,25.00,15.62,3.12,3.12,3.12,0.00,6.25,6.25,3.12,3.12,3.12,3.12,3.12,3.12,0.00,0.00,0.00,0.00,21.88,3.12,0.00,0.00,0.00,6.25,3.12,0.00,0.00,0.00,3.12,0.00,6.25,3.12,3.12,0.00,0.00,0.00,0.00,0.00,0.00,3.12,3.12,0.00,0.00,0.00,0.00,3.12,3.12,0.00,3.12,0.00,3.12,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,9.38,3.12,6.25,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
The Associated Press confirms the report:,6,99.00,50.00,1.00,25.77,6.00,33.33,83.33,33.33,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,33.33,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,16.67,0.00,0.00,16.67,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,33.33,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,16.67,0.00,0.00,16.67,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
BREAKING: Court documents say man arrested at New Mexico compound was training children to commit school shootings.,17,97.21,96.11,6.20,25.77,17.00,41.18,52.94,17.65,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,11.76,5.88,0.00,0.00,0.00,11.76,5.88,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,17.65,0.00,0.00,0.00,5.88,5.88,0.00,0.00,0.00,0.00,5.88,0.00,5.88,0.00,5.88,0.00,0.00,0.00,0.00,0.00,0.00,5.88,0.00,0.00,5.88,0.00,0.00,5.88,11.76,0.00,11.76,0.00,5.88,5.88,5.88,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,11.76,5.88,0.00,5.88,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
"— The Associated Press (@AP) August 8, 2018",7,99.00,50.00,13.15,25.77,7.00,14.29,57.14,14.29,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,14.29,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,28.57,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,14.29,0.00,0.00,14.29,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,14.29,0.00,0.00,14.29,14.29,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,57.14,0.00,14.29,0.00,0.00,0.00,0.00,0.00,0.00,0.00,28.57,14.29
That's not all.,3,1.00,1.00,98.01,25.77,3.00,0.00,100.00,66.67,33.33,0.00,0.00,0.00,0.00,0.00,0.00,33.33,0.00,0.00,33.33,0.00,0.00,33.33,33.33,0.00,0.00,0.00,0.00,33.33,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,66.67,0.00,0.00,0.00,0.00,33.33,33.33,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,33.33,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,66.67,33.33,0.00,0.00,0.00,0.00,0.00,0.00,0.00,33.33,0.00,0.00
A young boy's body was discovered at the site as well.,11,98.34,81.84,99.00,99.00,11.00,9.09,100.00,54.55,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,18.18,18.18,9.09,9.09,9.09,0.00,9.09,18.18,9.09,0.00,0.00,0.00,9.09,9.09,0.00,0.00,0.00,0.00,9.09,0.00,0.00,0.00,9.09,9.09,9.09,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,9.09,9.09,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,9.09,0.00,0.00,27.27,0.00,18.18,9.09,0.00,0.00,0.00,0.00,0.00,0.00,9.09,0.00,0.00,0.00,9.09,0.00,18.18,9.09,0.00,0.00,0.00,0.00,0.00,0.00,0.00,9.09,0.00,0.00
AJC reports:,2,93.26,50.00,1.00,25.77,2.00,50.00,50.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,50.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,50.00,0.00,0.00,50.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
"Siraj Wahhaj learned Wednesday that prosecutors want him held without bond, along with his relatives also arrested at the compound: Lucas Allen Morton, Jany Leveille, Hujrah Wahhaj and Subhannah Wahhaj.",30,84.62,63.05,1.00,25.77,30.00,30.00,50.00,33.33,10.00,6.67,0.00,0.00,0.00,6.67,0.00,3.33,3.33,13.33,0.00,3.33,6.67,3.33,10.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,10.00,3.33,0.00,0.00,6.67,10.00,3.33,0.00,3.33,0.00,0.00,3.33,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,3.33,3.33,0.00,0.00,0.00,0.00,6.67,3.33,0.00,6.67,0.00,3.33,3.33,3.33,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,16.67,3.33,10.00,3.33,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
"Siraj Wahhaj is also accused by Clayton County authorities of abducting his son, Abdul-Ghani Wahhaj, in December.",18,86.43,86.68,4.97,25.77,18.00,27.78,55.56,33.33,5.56,5.56,0.00,0.00,0.00,5.56,0.00,0.00,0.00,16.67,5.56,5.56,5.56,0.00,5.56,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,11.11,5.56,0.00,0.00,11.11,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,5.56,0.00,5.56,5.56,0.00,0.00,0.00,5.56,0.00,16.67,0.00,11.11,5.56,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,22.22,5.56,11.11,0.00,0.00,0.00,0.00,5.56,0.00,0.00,0.00,0.00
Authorities are working to determine if the remains of a young boy found near the compound Monday are Abdul-Ghani Wahhaj’s.,21,99.00,50.00,68.01,25.77,21.00,28.57,76.19,42.86,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,14.29,14.29,9.52,0.00,4.76,0.00,23.81,4.76,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,4.76,0.00,0.00,0.00,4.76,14.29,9.52,0.00,4.76,4.76,0.00,4.76,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,9.52,0.00,9.52,4.76,0.00,0.00,4.76,14.29,0.00,14.29,0.00,4.76,9.52,4.76,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,14.29,4.76,0.00,0.00,0.00,0.00,0.00,4.76,0.00,4.76,0.00,0.00
Monday was (or would’ve been) the child’s 4th birthday.,9,18.82,50.00,58.07,25.77,9.00,22.22,88.89,55.56,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,11.11,0.00,33.33,0.00,11.11,0.00,33.33,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,11.11,0.00,0.00,0.00,0.00,22.22,0.00,0.00,11.11,11.11,0.00,11.11,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,11.11,0.00,0.00,11.11,0.00,0.00,33.33,0.00,0.00,22.22,0.00,0.00,22.22,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,55.56,11.11,0.00,0.00,0.00,0.00,0.00,0.00,0.00,22.22,22.22,0.00
The court filing says the remains were in a state of decomposition.,12,99.00,79.76,1.79,25.77,12.00,16.67,58.33,50.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,25.00,16.67,8.33,0.00,0.00,0.00,16.67,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,8.33,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,8.33,0.00,8.33,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,8.33,8.33,0.00,8.33,0.00,8.33,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,8.33,8.33,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
"#Breaking: A child's remains were discovered on the compound.",9,99.00,86.68,58.07,25.77,9.00,44.44,66.67,44.44,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,22.22,11.11,11.11,0.00,0.00,0.00,11.11,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,11.11,0.00,0.00,0.00,0.00,11.11,11.11,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,11.11,0.00,0.00,11.11,0.00,0.00,11.11,0.00,0.00,11.11,0.00,11.11,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,44.44,11.11,0.00,11.11,0.00,0.00,0.00,0.00,0.00,11.11,0.00,11.11
